Date & Time,Loads [kW],Solar [kW],MEF [kgCO2/kWh]
4/9/2023 1:29,0.475533333,0.039333333,0.338864471826608
4/9/2023 1:30,0.351933333,0.0353,0.336213811799809
4/9/2023 1:31,0.35215,0.035533333,0.336213811799809
4/9/2023 1:32,0.35595,0.035416667,0.336213811799809
4/9/2023 1:33,0.3635,0.03555,0.336213811799809
4/9/2023 1:34,0.363683333,0.035566667,0.336213811799809
4/9/2023 1:35,0.3642,0.035466667,0.336213811799809
4/9/2023 1:36,0.363616667,0.03555,0.33550253298061883
4/9/2023 1:37,0.352516667,0.035716667,0.33479125416142863
4/9/2023 1:38,0.352166667,0.035583333,0.3340799753422384
4/9/2023 1:39,0.351816667,0.035433333,0.3333686965230482
4/9/2023 1:40,0.357183333,0.035716667,0.332657417703858
4/9/2023 1:41,0.370033333,0.0354,0.32979709418297837
4/9/2023 1:42,0.402083333,0.0364,0.3269367706620988
4/9/2023 1:43,0.506383333,0.039733333,0.3240764471412192
4/9/2023 1:44,0.503866667,0.039583333,0.32121612362033963
4/9/2023 1:45,0.493433333,0.03965,0.31835580009946
4/9/2023 1:46,0.494333333,0.039716667,0.31828947797378143
4/9/2023 1:47,0.496016667,0.039766667,0.3182231558481028
4/9/2023 1:48,0.50005,0.0398,0.3181568337224242
4/9/2023 1:49,0.506583333,0.03975,0.31809051159674556
4/9/2023 1:50,0.506966667,0.039866667,0.318024189471067
4/9/2023 1:51,0.450033333,0.038,0.318024189471067
4/9/2023 1:52,0.365183333,0.035633333,0.318024189471067
4/9/2023 1:53,0.350483333,0.035466667,0.318024189471067
4/9/2023 1:54,0.3547,0.03535,0.318024189471067
4/9/2023 1:55,0.364466667,0.035133333,0.318024189471067
4/9/2023 1:56,0.365666667,0.0349,0.3221488021991686
4/9/2023 1:57,0.37385,0.035066667,0.3262734149272702
4/9/2023 1:58,0.38525,0.034766667,0.3303980276553718
4/9/2023 1:59,0.381883333,0.03495,0.3345226403834734
4/9/2023 2:00,0.375633333,0.035016667,0.338647253111575
4/9/2023 2:01,0.374983333,0.035366667,0.3389512712906304
4/9/2023 2:02,0.375216667,0.035133333,0.3392552894696858
4/9/2023 2:03,0.376866667,0.0351,0.3395593076487412
4/9/2023 2:04,0.40805,0.036666667,0.3398633258277966
4/9/2023 2:05,0.499233333,0.039733333,0.340167344006852
4/9/2023 2:06,0.495733333,0.039416667,0.3398633258277966
4/9/2023 2:07,0.498166667,0.039633333,0.3395593076487412
4/9/2023 2:08,0.497366667,0.039616667,0.3392552894696858
4/9/2023 2:09,0.505616667,0.039716667,0.3389512712906304
4/9/2023 2:10,0.517116667,0.039583333,0.338647253111575
4/9/2023 2:11,0.515116667,0.039416667,0.338578803787764
4/9/2023 2:12,0.50795,0.039716667,0.338510354463953
4/9/2023 2:13,0.428916667,0.037266667,0.338441905140142
4/9/2023 2:14,0.363466667,0.035383333,0.338373455816331
4/9/2023 2:15,0.35485,0.035483333,0.33830500649252
4/9/2023 2:16,0.35515,0.03565,0.3392396044397786
4/9/2023 2:17,0.357416667,0.03545,0.34017420238703716
4/9/2023 2:18,0.362233333,0.035483333,0.3411088003342958
4/9/2023 2:19,0.3685,0.0355,0.3420433982815544
4/9/2023 2:20,0.3663,0.0356,0.342977996228813
4/9/2023 2:21,0.3684,0.035566667,0.3423072319763506
4/9/2023 2:22,0.36755,0.0356,0.34163646772388817
4/9/2023 2:23,0.356,0.03555,0.3409657034714258
4/9/2023 2:24,0.3529,0.035966667,0.34029493921896337
4/9/2023 2:25,0.357566667,0.035483333,0.339624174966501
4/9/2023 2:26,0.404666667,0.036716667,0.3393369176416954
4/9/2023 2:27,0.51735,0.03935,0.33904966031688977
4/9/2023 2:28,0.508833333,0.039533333,0.3387624029920842
4/9/2023 2:29,0.503933333,0.039733333,0.3384751456672786
4/9/2023 2:30,0.505116667,0.039616667,0.338187888342473
4/9/2023 2:31,0.492883333,0.039633333,0.3383329167990492
4/9/2023 2:32,0.492733333,0.0396,0.3384779452556254
4/9/2023 2:33,0.493116667,0.0397,0.33862297371220157
4/9/2023 2:34,0.496716667,0.039583333,0.3387680021687778
4/9/2023 2:35,0.423666667,0.037416667,0.338913030625354
4/9/2023 2:36,0.362133333,0.035616667,0.338913030625354
4/9/2023 2:37,0.362333333,0.03565,0.338913030625354
4/9/2023 2:38,0.362016667,0.03565,0.338913030625354
4/9/2023 2:39,0.350816667,0.035366667,0.338913030625354
4/9/2023 2:40,0.351216667,0.035533333,0.338913030625354
4/9/2023 2:41,0.350483333,0.03545,0.340435908883701
4/9/2023 2:42,0.35435,0.035683333,0.341958787142048
4/9/2023 2:43,0.3619,0.0356,0.343481665400395
4/9/2023 2:44,0.371416667,0.035366667,0.345004543658742
4/9/2023 2:45,0.365066667,0.035516667,0.346527421917089
4/9/2023 2:46,0.36235,0.035583333,0.3462412770924562
4/9/2023 2:47,0.3571,0.0357,0.34595513226782343
4/9/2023 2:48,0.36005,0.03565,0.3456689874431906
4/9/2023 2:49,0.511733333,0.0402,0.3453828426185578
4/9/2023 2:50,0.487816667,0.03985,0.345096697793925
4/9/2023 2:51,0.488666667,0.039783333,0.3453828426185578
4/9/2023 2:52,0.500733333,0.039416667,0.3456689874431906
4/9/2023 2:53,0.498866667,0.03975,0.34595513226782343
4/9/2023 2:54,0.5056,0.0396,0.3462412770924562
4/9/2023 2:55,0.5066,0.039566667,0.346527421917089
4/9/2023 2:56,0.50635,0.039433333,0.349797548935641
4/9/2023 2:57,0.4518,0.037833333,0.353067675954193
4/9/2023 2:58,0.363683333,0.035516667,0.356337802972745
4/9/2023 2:59,0.362183333,0.035216667,0.359607929991297
4/9/2023 3:00,0.3609,0.0356,0.362878057009849
4/9/2023 3:01,0.355816667,0.035566667,0.3661406532580014
4/9/2023 3:02,0.35625,0.03535,0.3694032495061538
4/9/2023 3:03,0.35315,0.03555,0.3726658457543062
4/9/2023 3:04,0.353183333,0.0355,0.3759284420024586
4/9/2023 3:05,0.3603,0.03545,0.379191038250611
4/9/2023 3:06,0.364983333,0.035383333,0.377788823472531
4/9/2023 3:07,0.366666667,0.035466667,0.376386608694451
4/9/2023 3:08,0.372466667,0.035066667,0.374984393916371
4/9/2023 3:09,0.368333333,0.035366667,0.373582179138291
4/9/2023 3:10,0.361133333,0.035466667,0.372179964360211
4/9/2023 3:11,0.451583333,0.03835,0.3712906366122864
4/9/2023 3:12,0.49045,0.03955,0.3704013088643618
4/9/2023 3:13,0.488083333,0.039516667,0.36951198111643724
4/9/2023 3:14,0.494683333,0.039683333,0.36862265336851263
4/9/2023 3:15,0.503666667,0.039616667,0.367733325620588
4/9/2023 3:16,0.503866667,0.039866667,0.3674282193919132
4/9/2023 3:17,0.5039,0.039816667,0.3671231131632384
4/9/2023 3:18,0.502383333,0.039683333,0.3668180069345636
4/9/2023 3:19,0.486766667,0.039616667,0.3665129007058888
4/9/2023 3:20,0.351933333,0.035533333,0.366207794477214
4/9/2023 3:21,0.350566667,0.0355,0.3665129007058888
4/9/2023 3:22,0.353783333,0.035433333,0.3668180069345636
4/9/2023 3:23,0.36305,0.035483333,0.3671231131632384
4/9/2023 3:24,0.369966667,0.035183333,0.3674282193919132
4/9/2023 3:25,0.377583333,0.035033333,0.367733325620588
4/9/2023 3:26,0.367266667,0.0351,0.36728655288640844
4/9/2023 3:27,0.362233333,0.035083333,0.36683978015222884
4/9/2023 3:28,0.36215,0.03535,0.3663930074180492
4/9/2023 3:29,0.37235,0.034983333,0.3659462346838696
4/9/2023 3:30,0.355616667,0.035266667,0.36549946194969
4/9/2023 3:31,0.353,0.0355,0.3651449533781824
4/9/2023 3:32,0.352816667,0.035383333,0.36479044480667483
4/9/2023 3:33,0.355133333,0.035416667,0.3644359362351672
4/9/2023 3:34,0.5265,0.04035,0.3640814276636596
4/9/2023 3:35,0.50255,0.0394,0.363726919092152
4/9/2023 3:36,0.501833333,0.039516667,0.3630913636363634
4/9/2023 3:37,0.505583333,0.039466667,0.3624558081805748
4/9/2023 3:38,0.504733333,0.039633333,0.3618202527247862
4/9/2023 3:39,0.502633333,0.03935,0.3611846972689976
4/9/2023 3:40,0.501933333,0.039416667,0.360549141813209
4/9/2023 3:41,0.492616667,0.039366667,0.3588615524029232
4/9/2023 3:42,0.421466667,0.037433333,0.35717396299263743
4/9/2023 3:43,0.354283333,0.035483333,0.3554863735823516
4/9/2023 3:44,0.353583333,0.03525,0.3537987841720658
4/9/2023 3:45,0.363266667,0.035066667,0.35211119476178
4/9/2023 3:46,0.37125,0.034983333,0.3515888942686248
4/9/2023 3:47,0.363766667,0.035066667,0.3510665937754696
4/9/2023 3:48,0.362833333,0.03515,0.3505442932823144
4/9/2023 3:49,0.357483333,0.035166667,0.35002199278915924
4/9/2023 3:50,0.349933333,0.035216667,0.349499692296004
4/9/2023 3:51,0.34955,0.03525,0.34878153064607503
4/9/2023 3:52,0.349916667,0.035183333,0.34806336899614604
